iter	Passed	Remaining
0	164	164169
1	178	89300
2	193	64326
3	209	52184
4	223	44518
5	237	39419
6	252	35791
7	266	33045
8	281	30970
9	296	29336
10	310	27893
11	323	26673
12	337	25628
13	351	24751
14	365	23998
15	379	23353
16	396	22942
17	411	22451
18	425	21993
19	440	21594
20	456	21293
21	471	20953
22	485	20620
23	501	20412
24	517	20195
25	533	20001
26	550	19828
27	567	19705
28	584	19571
29	600	19420
30	616	19272
31	632	19126
32	647	18988
33	661	18804
34	677	18687
35	692	18551
36	708	18427
37	723	18318
38	741	18271
39	759	18219
40	776	18174
41	794	18123
42	811	18053
43	827	17983
44	844	17931
45	860	17845
46	876	17772
47	894	17741
48	912	17700
49	932	17717
50	950	17695
51	968	17660
52	987	17637
53	1003	17582
54	1020	17533
55	1037	17493
56	1056	17481
57	1073	17442
58	1091	17412
59	1110	17402
60	1133	17444
61	1153	17452
62	1173	17457
63	1198	17520
64	1216	17494
65	1235	17488
66	1253	17456
67	1272	17437
68	1289	17400
69	1312	17441
70	1330	17406
71	1346	17355
72	1365	17335
73	1382	17298
74	1400	17268
75	1415	17215
76	1432	17167
77	1447	17112
78	1463	17067
79	1482	17045
80	1500	17020
81	1515	16968
82	1531	16916
83	1547	16873
84	1563	16830
85	1579	16782
86	1597	16763
87	1613	16720
88	1629	16675
89	1644	16630
90	1660	16587
91	1676	16547
92	1692	16506
93	1709	16478
94	1727	16452
95	1744	16430
96	1760	16386
97	1776	16355
98	1792	16316
99	1808	16275
100	1827	16262
101	1842	16217
102	1857	16177
103	1873	16138
104	1889	16108
105	1905	16074
106	1922	16045
107	1939	16016
108	1954	15976
109	1970	15946
110	1986	15907
111	2002	15875
112	2017	15838
113	2034	15812
114	2049	15772
115	2064	15734
116	2079	15690
117	2094	15657
118	2109	15619
119	2124	15583
120	2141	15554
121	2156	15519
122	2170	15477
123	2185	15436
124	2200	15402
125	2216	15371
126	2233	15356
127	2256	15371
128	2274	15358
129	2293	15349
130	2312	15338
131	2333	15344
132	2356	15363
133	2376	15355
134	2393	15335
135	2411	15318
136	2428	15297
137	2444	15272
138	2461	15249
139	2477	15217
140	2494	15198
141	2511	15178
142	2529	15158
143	2546	15138
144	2563	15118
145	2582	15108
146	2597	15074
147	2612	15037
148	2627	15005
149	2642	14974
150	2658	14946
151	2672	14911
152	2688	14884
153	2704	14857
154	2720	14832
155	2734	14793
156	2749	14763
157	2763	14726
158	2776	14683
159	2788	14639
160	2804	14614
161	2820	14592
162	2834	14555
163	2849	14524
164	2862	14485
165	2875	14448
166	2891	14421
167	2903	14381
168	2917	14345
169	2931	14310
170	2944	14274
171	2958	14241
172	2973	14213
173	2986	14174
174	2999	14138
175	3014	14112
176	3028	14083
177	3043	14052
178	3056	14019
179	3070	13986
180	3083	13950
181	3096	13915
182	3109	13883
183	3123	13851
184	3136	13816
185	3148	13779
186	3163	13752
187	3176	13718
188	3189	13686
189	3203	13654
190	3215	13621
191	3228	13587
192	3242	13557
193	3254	13522
194	3268	13492
195	3282	13463
196	3295	13432
197	3308	13401
198	3321	13370
199	3335	13342
200	3348	13312
201	3362	13281
202	3376	13258
203	3390	13229
204	3403	13198
205	3416	13170
206	3430	13140
207	3443	13110
208	3455	13077
209	3469	13050
210	3483	13025
211	3497	12999
212	3510	12970
213	3523	12940
214	3538	12919
215	3551	12891
216	3565	12864
217	3578	12837
218	3593	12813
219	3605	12783
220	3620	12763
221	3634	12737
222	3646	12705
223	3658	12675
224	3671	12646
225	3684	12619
226	3699	12596
227	3712	12570
228	3725	12544
229	3738	12515
230	3751	12487
231	3764	12460
232	3777	12435
233	3792	12413
234	3806	12392
235	3819	12364
236	3832	12338
237	3845	12310
238	3858	12286
239	3872	12261
240	3884	12234
241	3897	12207
242	3911	12185
243	3925	12162
244	3939	12140
245	3953	12116
246	3965	12090
247	3979	12066
248	3993	12045
249	4009	12028
250	4023	12006
251	4036	11982
252	4049	11957
253	4063	11933
254	4076	11910
255	4090	11887
256	4105	11868
257	4119	11848
258	4132	11824
259	4145	11797
260	4159	11776
261	4172	11752
262	4185	11729
263	4232	11800
264	4273	11853
265	4295	11853
266	4312	11838
267	4326	11816
268	4339	11791
269	4352	11766
270	4366	11745
271	4379	11721
272	4391	11694
273	4404	11670
274	4419	11650
275	4431	11625
276	4444	11600
277	4457	11575
278	4470	11552
279	4484	11530
280	4497	11507
281	4510	11485
282	4523	11459
283	4536	11436
284	4549	11414
285	4563	11393
286	4577	11372
287	4590	11348
288	4603	11324
289	4616	11302
290	4630	11282
291	4644	11260
292	4657	11237
293	4669	11212
294	4682	11189
295	4695	11167
296	4708	11145
297	4721	11121
298	4735	11103
299	4749	11082
300	4763	11061
301	4776	11040
302	4791	11021
303	4804	10998
304	4816	10974
305	4828	10950
306	4842	10931
307	4856	10910
308	4869	10889
309	4882	10866
310	4895	10845
311	4908	10823
312	4921	10801
313	4934	10780
314	4948	10760
315	4961	10738
316	4975	10720
317	4990	10703
318	5004	10684
319	5017	10662
320	5030	10640
321	5043	10618
322	5057	10600
323	5071	10580
324	5083	10558
325	5095	10535
326	5108	10514
327	5121	10492
328	5134	10472
329	5148	10453
330	5161	10432
331	5174	10411
332	5187	10390
333	5200	10370
334	5214	10350
335	5226	10329
336	5239	10308
337	5252	10288
338	5267	10270
339	5281	10251
340	5294	10232
341	5306	10209
342	5319	10190
343	5333	10170
344	5346	10151
345	5360	10132
346	5375	10115
347	5388	10095
348	5400	10074
349	5413	10054
350	5426	10034
351	5439	10013
352	5452	9992
353	5465	9973
354	5480	9957
355	5493	9938
356	5506	9917
357	5518	9896
358	5531	9876
359	5544	9857
360	5558	9838
361	5570	9818
362	5583	9798
363	5596	9777
364	5610	9760
365	5625	9744
366	5639	9726
367	5652	9707
368	5664	9686
369	5681	9673
370	5694	9654
371	5708	9637
372	5722	9619
373	5735	9599
374	5747	9579
375	5760	9559
376	5774	9541
377	5788	9524
378	5801	9505
379	5814	9486
380	5827	9467
381	5840	9448
382	5854	9431
383	5868	9413
384	5880	9394
385	5894	9376
386	5907	9357
387	5921	9340
388	5935	9322
389	5949	9304
390	5963	9287
391	5976	9270
392	5992	9255
393	6005	9237
394	6018	9218
395	6032	9200
396	6044	9181
397	6056	9161
398	6069	9141
399	6083	9125
400	6096	9107
401	6110	9089
402	6122	9070
403	6135	9052
404	6148	9033
405	6162	9016
406	6175	8997
407	6187	8977
408	6201	8960
409	6216	8945
410	6230	8929
411	6246	8914
412	6261	8899
413	6275	8883
414	6290	8866
415	6306	8853
416	6320	8837
417	6335	8821
418	6351	8806
419	6367	8793
420	6383	8779
421	6401	8768
422	6419	8756
423	6433	8739
424	6448	8724
425	6463	8708
426	6477	8692
427	6490	8674
428	6504	8656
429	6517	8639
430	6530	8621
431	6542	8602
432	6556	8585
433	6569	8567
434	6580	8547
435	6593	8529
436	6608	8513
437	6621	8496
438	6634	8478
439	6647	8460
440	6660	8442
441	6673	8425
442	6687	8408
443	6701	8392
444	6715	8375
445	6727	8356
446	6740	8339
447	6753	8321
448	6768	8305
449	6781	8287
450	6793	8270
451	6806	8252
452	6821	8237
453	6834	8219
454	6848	8202
455	6860	8184
456	6873	8166
457	6886	8149
458	6901	8134
459	6916	8119
460	6929	8102
461	6943	8085
462	6957	8069
463	6972	8054
464	6987	8039
465	7001	8023
466	7015	8007
467	7029	7990
468	7042	7973
469	7055	7955
470	7067	7937
471	7080	7920
472	7094	7904
473	7106	7886
474	7120	7870
475	7133	7852
476	7146	7835
477	7159	7818
478	7173	7802
479	7185	7784
480	7198	7766
481	7211	7750
482	7226	7734
483	7239	7718
484	7252	7700
485	7265	7683
486	7280	7669
487	7296	7655
488	7310	7639
489	7325	7624
490	7340	7609
491	7355	7594
492	7370	7579
493	7385	7564
494	7401	7550
495	7416	7535
496	7430	7519
497	7445	7505
498	7460	7490
499	7475	7475
500	7489	7459
501	7504	7444
502	7519	7430
503	7534	7414
504	7548	7398
505	7561	7381
506	7573	7364
507	7586	7347
508	7600	7331
509	7613	7315
510	7626	7297
511	7640	7282
512	7653	7266
513	7667	7249
514	7680	7233
515	7693	7216
516	7706	7199
517	7718	7182
518	7732	7166
519	7745	7149
520	7760	7134
521	7772	7117
522	7785	7100
523	7798	7084
524	7811	7067
525	7825	7051
526	7837	7034
527	7852	7019
528	7865	7003
529	7878	6986
530	7892	6970
531	7905	6954
532	7919	6938
533	7934	6923
534	7948	6908
535	7962	6892
536	7975	6876
537	7988	6859
538	8000	6842
539	8015	6827
540	8030	6813
541	8054	6806
542	8071	6793
543	8086	6778
544	8101	6763
545	8116	6748
546	8131	6733
547	8146	6719
548	8161	6704
549	8176	6690
550	8191	6675
551	8206	6660
552	8220	6645
553	8235	6630
554	8250	6615
555	8266	6600
556	8280	6585
557	8293	6569
558	8306	6552
559	8319	6536
560	8332	6520
561	8344	6503
562	8358	6487
563	8372	6472
564	8385	6456
565	8398	6440
566	8410	6423
567	8424	6407
568	8437	6391
569	8450	6375
570	8463	6358
571	8476	6342
572	8488	6325
573	8502	6310
574	8515	6294
575	8529	6278
576	8541	6261
577	8555	6246
578	8569	6231
579	8582	6214
580	8595	6198
581	8607	6181
582	8620	6165
583	8633	6150
584	8646	6134
585	8660	6118
586	8673	6102
587	8686	6086
588	8699	6070
589	8713	6054
590	8725	6038
591	8738	6022
592	8751	6006
593	8764	5990
594	8779	5975
595	8792	5959
596	8805	5943
597	8817	5927
598	8831	5912
599	8844	5896
600	8857	5880
601	8869	5863
602	8884	5849
603	8898	5834
604	8912	5818
605	8926	5804
606	8940	5788
607	8954	5773
608	8967	5757
609	8982	5743
610	8995	5727
611	9009	5711
612	9022	5695
613	9035	5680
614	9047	5663
615	9060	5647
